,DATE,ID,PREDICTION,LABEL
30,2021-12-20 01:23:43.229210-05:00,30,0.607544852,0
31,2021-12-20 02:23:43.229210-05:00,31,0.170524124,1
32,2021-12-20 03:23:43.229210-05:00,32,0.065051593,0
33,2021-12-20 04:23:43.229210-05:00,33,0.948885537,0
34,2021-12-20 05:23:43.229210-05:00,34,0.965632033,0
35,2021-12-20 06:23:43.229210-05:00,35,0.808397348,0
36,2021-12-20 07:23:43.229210-05:00,36,0.304613769,0
37,2021-12-20 08:23:43.229210-05:00,37,0.097672114,0
38,2021-12-20 09:23:43.229210-05:00,38,0.684233027,0
39,2021-12-20 10:23:43.229210-05:00,39,0.440152494,0
40,2021-12-20 11:23:43.229210-05:00,40,0.122038235,1
41,2021-12-20 12:23:43.229210-05:00,41,0.49517691,0
42,2021-12-20 13:23:43.229210-05:00,42,0.034388521,0
43,2021-12-20 14:23:43.229210-05:00,43,0.909320402,0
44,2021-12-20 15:23:43.229210-05:00,44,0.258779982,0
45,2021-12-20 16:23:43.229210-05:00,45,0.662522284,0
46,2021-12-20 17:23:43.229210-05:00,46,0.311711076,0
47,2021-12-20 18:23:43.229210-05:00,47,0.520068021,0
48,2021-12-20 19:23:43.229210-05:00,48,0.546710279,0
49,2021-12-20 20:23:43.229210-05:00,49,0.184854456,1
50,2021-12-20 21:23:43.229210-05:00,50,0.969584628,0
51,2021-12-20 22:23:43.229210-05:00,51,0.775132823,0
52,2021-12-20 23:23:43.229210-05:00,52,0.939498942,1
53,2021-12-21 00:23:43.229210-05:00,53,0.89482735,0
54,2021-12-21 01:23:43.229210-05:00,54,0.597899979,0
55,2021-12-21 02:23:43.229210-05:00,55,0.921874235,0
56,2021-12-21 03:23:43.229210-05:00,56,0.088492502,0
57,2021-12-21 04:23:43.229210-05:00,57,0.195982862,0
58,2021-12-21 05:23:43.229210-05:00,58,0.045227289,0
59,2021-12-21 06:23:43.229210-05:00,59,0.325330331,0
60,2021-12-21 07:23:43.229210-05:00,60,0.38867729,0
61,2021-12-21 08:23:43.229210-05:00,61,0.271349032,0
62,2021-12-21 09:23:43.229210-05:00,62,0.828737509,0
63,2021-12-21 10:23:43.229210-05:00,63,0.356753327,0
64,2021-12-21 11:23:43.229210-05:00,64,0.28093451,0
65,2021-12-21 12:23:43.229210-05:00,65,0.542696083,0
66,2021-12-21 13:23:43.229210-05:00,66,0.140924225,0
67,2021-12-21 14:23:43.229210-05:00,67,0.802196981,0
68,2021-12-21 15:23:43.229210-05:00,68,0.074550644,0
69,2021-12-21 16:23:43.229210-05:00,69,0.986886937,0
70,2021-12-21 17:23:43.229210-05:00,70,0.772244769,1
71,2021-12-21 18:23:43.229210-05:00,71,0.198715682,0
72,2021-12-21 19:23:43.229210-05:00,72,0.005522117,0
73,2021-12-21 20:23:43.229210-05:00,73,0.815461428,0
74,2021-12-21 21:23:43.229210-05:00,74,0.706857344,1
75,2021-12-21 22:23:43.229210-05:00,75,0.729007168,0
76,2021-12-21 23:23:43.229210-05:00,76,0.771270347,0
77,2021-12-22 00:23:43.229210-05:00,77,0.074044652,0
78,2021-12-22 01:23:43.229210-05:00,78,0.358465729,0
79,2021-12-22 02:23:43.229210-05:00,79,0.11586906,1
80,2021-12-22 03:23:43.229210-05:00,80,0.863103426,0
81,2021-12-22 04:23:43.229210-05:00,81,0.623298127,0
82,2021-12-22 05:23:43.229210-05:00,82,0.330898025,0
83,2021-12-22 06:23:43.229210-05:00,83,0.06355835,0
84,2021-12-22 07:23:43.229210-05:00,84,0.310982322,0
85,2021-12-22 08:23:43.229210-05:00,85,0.325183322,0
86,2021-12-22 09:23:43.229210-05:00,86,0.729606178,0
87,2021-12-22 10:23:43.229210-05:00,87,0.637557471,0
88,2021-12-22 11:23:43.229210-05:00,88,0.887212743,0
89,2021-12-22 12:23:43.229210-05:00,89,0.472214925,0
90,2021-12-22 13:23:43.229210-05:00,90,0.119594246,0
91,2021-12-22 14:23:43.229210-05:00,91,0.713244787,0
92,2021-12-22 15:23:43.229210-05:00,92,0.760785049,0
93,2021-12-22 16:23:43.229210-05:00,93,0.561277198,0
94,2021-12-22 17:23:43.229210-05:00,94,0.77096718,0
95,2021-12-22 18:23:43.229210-05:00,95,0.493795596,0
96,2021-12-22 19:23:43.229210-05:00,96,0.522732829,0
97,2021-12-22 20:23:43.229210-05:00,97,0.427541018,0
98,2021-12-22 21:23:43.229210-05:00,98,0.025419127,0
99,2021-12-22 22:23:43.229210-05:00,99,0.107891427,0
100,2021-12-22 23:23:43.229210-05:00,100,0.031429186,1
101,2021-12-23 00:23:43.229210-05:00,101,0.636410411,0
102,2021-12-23 01:23:43.229210-05:00,102,0.314355981,1
103,2021-12-23 02:23:43.229210-05:00,103,0.508570691,0
